deviceSerialnum,temperature(°C),humidity,vpd,temperature(°F),co2,Timestamp,ppfd
80F1B2B8091C,24.6,63.7,1.12,76.3,902,2026-05-31 19:00:00,423
80F1B2B8091C,24.6,65.9,1.05,76.3,915,2026-05-31 19:05:00,423
80F1B2B8091C,24.6,65.1,1.08,76.3,939,2026-05-31 19:10:00,433
80F1B2B8091C,24.6,63.1,1.14,76.3,915,2026-05-31 19:15:00,423
80F1B2B8091C,24.7,65.4,1.08,76.5,931,2026-05-31 19:20:00,423
80F1B2B8091C,24.7,67,1.03,76.5,953,2026-05-31 19:25:00,425
80F1B2B8091C,24.6,62.5,1.16,76.3,937,2026-05-31 19:30:00,424
80F1B2B8091C,24.7,65.1,1.09,76.5,962,2026-05-31 19:35:00,423
80F1B2B8091C,24.7,66.9,1.03,76.5,974,2026-05-31 19:40:00,423
80F1B2B8091C,24.5,62,1.17,76.1,953,2026-05-31 19:45:00,424
80F1B2B8091C,24.6,64.6,1.09,76.3,957,2026-05-31 19:50:00,423
80F1B2B8091C,24.7,66.6,1.04,76.5,979,2026-05-31 19:55:00,423
80F1B2B8091C,24.6,62.3,1.17,76.3,964,2026-05-31 20:00:00,435
80F1B2B8091C,24.6,64,1.11,76.3,961,2026-05-31 20:05:00,423
80F1B2B8091C,24.6,66.1,1.05,76.3,985,2026-05-31 20:10:00,422
80F1B2B8091C,24.6,64.3,1.1,76.3,994,2026-05-31 20:15:00,434
80F1B2B8091C,24.6,63.6,1.13,76.3,973,2026-05-31 20:20:00,423
80F1B2B8091C,24.6,65.8,1.06,76.3,990,2026-05-31 20:25:00,423
80F1B2B8091C,24.6,65.5,1.07,76.3,1004,2026-05-31 20:30:00,433
80F1B2B8091C,24.5,63.1,1.13,76.1,988,2026-05-31 20:35:00,423
80F1B2B8091C,24.6,65.3,1.07,76.3,1009,2026-05-31 20:40:00,422
80F1B2B8091C,24.6,67,1.02,76.3,1035,2026-05-31 20:45:00,427
80F1B2B8091C,24.5,62.5,1.15,76.1,1001,2026-05-31 20:50:00,422
80F1B2B8091C,24.6,65.3,1.07,76.3,1029,2026-05-31 20:55:00,421
80F1B2B8091C,24.6,67,1.02,76.3,1041,2026-05-31 21:00:00,421
80F1B2B8091C,24.5,62.1,1.17,76.1,1001,2026-05-31 21:05:00,423
80F1B2B8091C,24.5,65.1,1.07,76.1,1017,2026-05-31 21:10:00,420
80F1B2B8091C,24.6,66.8,1.03,76.3,1033,2026-05-31 21:15:00,420
80F1B2B8091C,24.4,61.8,1.17,75.9,1027,2026-05-31 21:20:00,424
80F1B2B8091C,24.5,64.7,1.09,76.1,1021,2026-05-31 21:25:00,420
80F1B2B8091C,24.5,66.6,1.03,76.1,1054,2026-05-31 21:30:00,420
80F1B2B8091C,24.4,62,1.16,75.9,1031,2026-05-31 21:35:00,435
80F1B2B8091C,24.4,63.3,1.12,75.9,1021,2026-05-31 21:40:00,420
80F1B2B8091C,24.5,65.7,1.05,76.1,1067,2026-05-31 21:45:00,420
80F1B2B8091C,24.6,66.6,1.03,76.3,1060,2026-05-31 21:50:00,431
80F1B2B8091C,24.6,66,1.05,76.3,1072,2026-05-31 21:55:00,420
80F1B2B8091C,24.5,64.5,1.09,76.1,1067,2026-05-31 22:00:00,424
80F1B2B8091C,24.6,66.6,1.03,76.3,1074,2026-05-31 22:05:00,420
80F1B2B8091C,24.5,65.3,1.07,76.1,1078,2026-05-31 22:10:00,420
80F1B2B8091C,24.6,66.9,1.02,76.3,1087,2026-05-31 22:15:00,429
80F1B2B8091C,24.5,65.9,1.05,76.1,1078,2026-05-31 22:20:00,420
80F1B2B8091C,24.4,64.5,1.08,75.9,1085,2026-05-31 22:25:00,423
80F1B2B8091C,24.5,66.6,1.03,76.1,1100,2026-05-31 22:30:00,420
80F1B2B8091C,24.4,65.5,1.05,75.9,1086,2026-05-31 22:35:00,420
80F1B2B8091C,24.4,66.8,1.01,75.9,1124,2026-05-31 22:40:00,431
80F1B2B8091C,24.3,66.1,1.03,75.7,1123,2026-05-31 22:45:00,420
80F1B2B8091C,24.3,64.6,1.08,75.7,1133,2026-05-31 22:50:00,421
80F1B2B8091C,24.3,66.7,1.01,75.7,1146,2026-05-31 22:55:00,420
80F1B2B8091C,24.3,65.4,1.05,75.7,1124,2026-05-31 23:00:00,420
80F1B2B8091C,24.3,67.1,1,75.7,1153,2026-05-31 23:05:00,425
80F1B2B8091C,24.3,66,1.03,75.7,1141,2026-05-31 23:10:00,420
80F1B2B8091C,24.2,64.5,1.07,75.6,1149,2026-05-31 23:15:00,427
80F1B2B8091C,24.2,66.6,1.01,75.6,1142,2026-05-31 23:20:00,420
80F1B2B8091C,24.2,65.2,1.05,75.6,1135,2026-05-31 23:25:00,420
80F1B2B8091C,24.2,67,1,75.6,1136,2026-05-31 23:30:00,429
80F1B2B8091C,24.2,66,1.03,75.6,1137,2026-05-31 23:35:00,420
80F1B2B8091C,24.1,64.5,1.07,75.4,1152,2026-05-31 23:40:00,425
80F1B2B8091C,24.1,66.7,1,75.4,1146,2026-05-31 23:45:00,420
80F1B2B8091C,24.0,65.3,1.04,75.2,1133,2026-05-31 23:50:00,420
80F1B2B8091C,24.0,66.4,1,75.2,1137,2026-05-31 23:55:00,431
80F1B2B8091C,24.0,66.1,1.01,75.2,1143,2026-06-01 00:00:00,420
80F1B2B8091C,23.9,64.5,1.05,75.0,1148,2026-06-01 00:05:00,421
80F1B2B8091C,23.9,66.7,0.99,75.0,1152,2026-06-01 00:10:00,420
80F1B2B8091C,23.8,65.3,1.02,74.8,1139,2026-06-01 00:15:00,421
80F1B2B8091C,23.8,66.4,0.99,74.8,1160,2026-06-01 00:20:00,431
80F1B2B8091C,23.8,66,1,74.8,1143,2026-06-01 00:25:00,420
80F1B2B8091C,23.8,64.3,1.05,74.8,1148,2026-06-01 00:30:00,423
80F1B2B8091C,23.8,66.6,0.98,74.8,1132,2026-06-01 00:35:00,421
80F1B2B8091C,23.7,65.3,1.02,74.7,1138,2026-06-01 00:40:00,421
80F1B2B8091C,23.7,66.4,0.98,74.7,1139,2026-06-01 00:45:00,431
80F1B2B8091C,23.7,66.1,0.99,74.7,1137,2026-06-01 00:50:00,420
80F1B2B8091C,23.6,64.4,1.04,74.5,1146,2026-06-01 00:55:00,424
80F1B2B8091C,23.6,66.5,0.98,74.5,1157,2026-06-01 01:00:00,421
80F1B2B8091C,23.5,65.2,1.01,74.3,1134,2026-06-01 01:05:00,421
80F1B2B8091C,23.5,66.6,0.97,74.3,1147,2026-06-01 01:10:00,431
80F1B2B8091C,23.5,66.2,0.98,74.3,1137,2026-06-01 01:15:00,421
80F1B2B8091C,23.5,64.6,1.02,74.3,1135,2026-06-01 01:20:00,421
80F1B2B8091C,23.5,66.8,0.96,74.3,1132,2026-06-01 01:25:00,421
80F1B2B8091C,23.5,65.4,1,74.3,1147,2026-06-01 01:30:00,421
80F1B2B8091C,23.7,67.1,0.96,74.7,1142,2026-06-01 01:35:00,421
80F1B2B8091C,23.7,65.7,1.01,74.7,1138,2026-06-01 01:40:00,420
80F1B2B8091C,23.8,65,1.03,74.8,1151,2026-06-01 01:45:00,433
80F1B2B8091C,23.9,66.3,1,75.0,1125,2026-06-01 01:50:00,420
80F1B2B8091C,23.9,64.5,1.05,75.0,1122,2026-06-01 01:55:00,421
80F1B2B8091C,24.0,66.8,0.99,75.2,1131,2026-06-01 02:00:00,421
80F1B2B8091C,24.0,65.1,1.04,75.2,1103,2026-06-01 02:05:00,421
80F1B2B8091C,24.1,67,0.99,75.4,1113,2026-06-01 02:10:00,429
80F1B2B8091C,24.1,66,1.02,75.4,1093,2026-06-01 02:15:00,421
80F1B2B8091C,24.1,65,1.05,75.4,1107,2026-06-01 02:20:00,434
80F1B2B8091C,24.1,66.4,1.01,75.4,1099,2026-06-01 02:25:00,420
80F1B2B8091C,24.1,64.9,1.05,75.4,1089,2026-06-01 02:30:00,421
80F1B2B8091C,24.2,66.9,1,75.6,1092,2026-06-01 02:35:00,420
80F1B2B8091C,24.2,65.8,1.03,75.6,1087,2026-06-01 02:40:00,420
80F1B2B8091C,24.3,65.5,1.05,75.7,1100,2026-06-01 02:45:00,434
80F1B2B8091C,24.3,66.2,1.03,75.7,1110,2026-06-01 02:50:00,420
80F1B2B8091C,24.3,64.7,1.07,75.7,1128,2026-06-01 02:55:00,424
80F1B2B8091C,24.4,66.7,1.02,75.9,1125,2026-06-01 03:00:00,420
80F1B2B8091C,24.4,65.4,1.06,75.9,1124,2026-06-01 03:05:00,420
80F1B2B8091C,24.5,66.5,1.03,76.1,1136,2026-06-01 03:10:00,431
80F1B2B8091C,24.4,66.4,1.03,75.9,1137,2026-06-01 03:15:00,421
80F1B2B8091C,24.3,65,1.06,75.7,1121,2026-06-01 03:20:00,421
80F1B2B8091C,24.2,67.2,0.99,75.6,1139,2026-06-01 03:25:00,426
80F1B2B8091C,24.0,65.8,1.02,75.2,1127,2026-06-01 03:30:00,421
80F1B2B8091C,23.9,64.6,1.05,75.0,1127,2026-06-01 03:35:00,422
80F1B2B8091C,23.9,66.7,0.99,75.0,1131,2026-06-01 03:40:00,421
80F1B2B8091C,23.8,65.3,1.02,74.8,1103,2026-06-01 03:45:00,421
80F1B2B8091C,24.0,67.1,0.98,75.2,1119,2026-06-01 03:50:00,421
80F1B2B8091C,24.0,65.6,1.03,75.2,1126,2026-06-01 03:55:00,421
80F1B2B8091C,24.0,65.4,1.03,75.2,1125,2026-06-01 04:00:00,433
80F1B2B8091C,24.1,66,1.02,75.4,1127,2026-06-01 04:05:00,421
80F1B2B8091C,24.1,64.3,1.07,75.4,1142,2026-06-01 04:10:00,424
80F1B2B8091C,24.2,66.4,1.01,75.6,1136,2026-06-01 04:15:00,421
80F1B2B8091C,24.2,64.9,1.06,75.6,1141,2026-06-01 04:20:00,421
80F1B2B8091C,24.3,67,1,75.7,1156,2026-06-01 04:25:00,420
80F1B2B8091C,24.3,65.6,1.05,75.7,1148,2026-06-01 04:30:00,420
80F1B2B8091C,24.3,65.5,1.05,75.7,1152,2026-06-01 04:35:00,433
80F1B2B8091C,24.3,66.3,1.02,75.7,1142,2026-06-01 04:40:00,420
80F1B2B8091C,24.3,64.6,1.08,75.7,1158,2026-06-01 04:45:00,423
80F1B2B8091C,24.4,66.7,1.02,75.9,1161,2026-06-01 04:50:00,421
80F1B2B8091C,24.4,65.4,1.06,75.9,1160,2026-06-01 04:55:00,420
80F1B2B8091C,24.4,67.1,1.01,75.9,1173,2026-06-01 05:00:00,427
80F1B2B8091C,24.4,65.9,1.04,75.9,1174,2026-06-01 05:05:00,420
80F1B2B8091C,24.5,65,1.08,76.1,1184,2026-06-01 05:10:00,434
80F1B2B8091C,24.5,66.3,1.04,76.1,1182,2026-06-01 05:15:00,421
80F1B2B8091C,24.5,64.7,1.09,76.1,1191,2026-06-01 05:20:00,421
80F1B2B8091C,24.6,66.8,1.03,76.3,1192,2026-06-01 05:25:00,420
80F1B2B8091C,24.6,65.3,1.07,76.3,1197,2026-06-01 05:30:00,420
80F1B2B8091C,24.6,67.1,1.02,76.3,1212,2026-06-01 05:35:00,427
80F1B2B8091C,24.6,65.9,1.05,76.3,1202,2026-06-01 05:40:00,420
80F1B2B8091C,24.7,65.3,1.08,76.5,1205,2026-06-01 05:45:00,434
80F1B2B8091C,24.7,66.4,1.05,76.5,1203,2026-06-01 05:50:00,421
80F1B2B8091C,24.7,64.7,1.1,76.5,1207,2026-06-01 05:55:00,422
80F1B2B8091C,24.7,66.6,1.04,76.5,1191,2026-06-01 06:00:00,420
80F1B2B8091C,24.7,65.1,1.09,76.5,1176,2026-06-01 06:05:00,420
80F1B2B8091C,24.8,66.9,1.04,76.6,1206,2026-06-01 06:10:00,429
80F1B2B8091C,24.8,66,1.06,76.6,1184,2026-06-01 06:15:00,420
80F1B2B8091C,24.8,64.7,1.1,76.6,1185,2026-06-01 06:20:00,422
80F1B2B8091C,24.8,66.8,1.04,76.6,1175,2026-06-01 06:25:00,420
80F1B2B8091C,24.8,65.4,1.08,76.6,1158,2026-06-01 06:30:00,420
80F1B2B8091C,24.9,67,1.04,76.8,1162,2026-06-01 06:35:00,429
80F1B2B8091C,24.8,66,1.06,76.6,1155,2026-06-01 06:40:00,421
80F1B2B8091C,24.9,64.7,1.11,76.8,1170,2026-06-01 06:45:00,427
80F1B2B8091C,24.9,66.6,1.05,76.8,1163,2026-06-01 06:50:00,420
80F1B2B8091C,24.7,65.2,1.08,76.5,1157,2026-06-01 06:55:00,420
80F1B2B8091C,24.7,66,1.06,76.5,1166,2026-06-01 07:00:00,432
80F1B2B8091C,24.5,66.3,1.04,76.1,1142,2026-06-01 07:05:00,420
80F1B2B8091C,24.4,64.9,1.07,75.9,1131,2026-06-01 07:10:00,421
80F1B2B8091C,24.4,66.9,1.01,75.9,1114,2026-06-01 07:15:00,429
80F1B2B8091C,24.3,66.2,1.03,75.7,1108,2026-06-01 07:20:00,421
