deviceSerialnum,temperature(°C),humidity,vpd,temperature(°F),co2,Timestamp,ppfd
80F1B2B8091C,21.6,68.4,0.82,70.9,,2026-05-12 00:20:00,
80F1B2B8091C,21.8,70,0.78,71.2,,2026-05-12 00:25:00,
80F1B2B8091C,21.8,72.5,0.72,71.2,,2026-05-12 00:30:00,
80F1B2B8091C,21.9,72,0.74,71.4,,2026-05-12 00:35:00,
80F1B2B8091C,22.0,73.4,0.7,71.6,,2026-05-12 00:40:00,
80F1B2B8091C,22.1,72,0.74,71.8,,2026-05-12 00:45:00,
80F1B2B8091C,22.2,73.6,0.71,72.0,,2026-05-12 00:50:00,
80F1B2B8091C,22.3,74.7,0.68,72.1,,2026-05-12 00:55:00,
80F1B2B8091C,22.3,75.3,0.67,72.1,,2026-05-12 01:00:00,
80F1B2B8091C,22.2,75.2,0.66,72.0,,2026-05-12 01:05:00,
80F1B2B8091C,22.2,75.9,0.64,72.0,,2026-05-12 01:10:00,
80F1B2B8091C,22.2,76,0.64,72.0,,2026-05-12 01:15:00,
80F1B2B8091C,22.2,76,0.64,72.0,,2026-05-12 01:20:00,
80F1B2B8091C,22.1,76.2,0.63,71.8,,2026-05-12 01:25:00,
80F1B2B8091C,22.1,71.7,0.75,71.8,,2026-05-12 01:30:00,
80F1B2B8091C,22.0,73.8,0.69,71.6,,2026-05-12 01:35:00,
80F1B2B8091C,22.0,74.6,0.67,71.6,,2026-05-12 01:40:00,
80F1B2B8091C,22.1,74.9,0.67,71.8,,2026-05-12 01:45:00,
80F1B2B8091C,22.1,75.4,0.65,71.8,,2026-05-12 01:50:00,
80F1B2B8091C,22.1,75.6,0.65,71.8,,2026-05-12 01:55:00,
80F1B2B8091C,22.1,75.7,0.65,71.8,,2026-05-12 02:00:00,
80F1B2B8091C,22.1,75.8,0.64,71.8,,2026-05-12 02:05:00,
80F1B2B8091C,22.1,75.9,0.64,71.8,,2026-05-12 02:10:00,
80F1B2B8091C,22.1,76.2,0.63,71.8,,2026-05-12 02:15:00,
80F1B2B8091C,22.1,76.3,0.63,71.8,,2026-05-12 02:20:00,
80F1B2B8091C,22.2,76.3,0.63,72.0,,2026-05-12 02:25:00,
80F1B2B8091C,22.1,76.4,0.63,71.8,,2026-05-12 02:30:00,
80F1B2B8091C,22.2,76.5,0.63,72.0,,2026-05-12 02:35:00,
80F1B2B8091C,22.2,76.6,0.63,72.0,,2026-05-12 02:40:00,
80F1B2B8091C,22.2,76.7,0.62,72.0,,2026-05-12 02:45:00,
80F1B2B8091C,22.2,76.8,0.62,72.0,,2026-05-12 02:50:00,
80F1B2B8091C,22.2,76.8,0.62,72.0,,2026-05-12 02:55:00,
80F1B2B8091C,22.2,76.8,0.62,72.0,,2026-05-12 03:00:00,
80F1B2B8091C,21.9,65.2,0.91,71.4,,2026-05-12 03:05:00,
80F1B2B8091C,21.8,66.9,0.86,71.2,,2026-05-12 03:10:00,
80F1B2B8091C,21.9,69,0.81,71.4,,2026-05-12 03:15:00,
80F1B2B8091C,22.0,70.6,0.78,71.6,,2026-05-12 03:20:00,
80F1B2B8091C,22.1,71.5,0.76,71.8,,2026-05-12 03:25:00,
80F1B2B8091C,22.1,72.4,0.73,71.8,,2026-05-12 03:30:00,
80F1B2B8091C,22.1,73,0.72,71.8,,2026-05-12 03:35:00,
80F1B2B8091C,22.1,73.6,0.7,71.8,,2026-05-12 03:40:00,
80F1B2B8091C,22.2,74,0.7,72.0,,2026-05-12 03:45:00,
80F1B2B8091C,22.2,74.4,0.69,72.0,,2026-05-12 03:50:00,
80F1B2B8091C,22.2,74.6,0.68,72.0,,2026-05-12 03:55:00,
80F1B2B8091C,22.2,74.9,0.67,72.0,,2026-05-12 04:00:00,
80F1B2B8091C,22.0,63.4,0.97,71.6,,2026-05-12 04:05:00,
80F1B2B8091C,21.8,64.8,0.92,71.2,,2026-05-12 04:10:00,
80F1B2B8091C,21.9,66.8,0.87,71.4,,2026-05-12 04:15:00,
80F1B2B8091C,22.0,68.4,0.84,71.6,,2026-05-12 04:20:00,
80F1B2B8091C,22.1,69.7,0.81,71.8,,2026-05-12 04:25:00,
80F1B2B8091C,22.1,70.7,0.78,71.8,,2026-05-12 04:30:00,
80F1B2B8091C,22.2,71.6,0.76,72.0,,2026-05-12 04:35:00,
80F1B2B8091C,22.2,72.1,0.75,72.0,,2026-05-12 04:40:00,
80F1B2B8091C,22.2,72.6,0.73,72.0,,2026-05-12 04:45:00,
80F1B2B8091C,22.2,72.9,0.73,72.0,,2026-05-12 04:50:00,
80F1B2B8091C,22.2,73.4,0.71,72.0,,2026-05-12 04:55:00,
80F1B2B8091C,22.2,73.7,0.7,72.0,,2026-05-12 05:00:00,
80F1B2B8091C,22.0,61.8,1.01,71.6,,2026-05-12 05:05:00,
80F1B2B8091C,21.8,62.1,0.99,71.2,,2026-05-12 05:10:00,
80F1B2B8091C,21.9,65.1,0.92,71.4,,2026-05-12 05:15:00,
