Timestamp(1 min),Built-in Temperature(℉),Built-in Humidity(%),Built-in VPD(kPa),Probe Temperature(℉),Probe Humidity(%),Probe VPD(kPa),Probe CO2(PPM)
2026/05/18 00:00:00,87.1,58,1.82,82.2,61,1.46,-
2026/05/18 00:01:00,87.0,58,1.83,82.0,61,1.45,-
2026/05/18 00:02:00,87.0,58,1.82,81.8,61,1.43,-
2026/05/18 00:03:00,87.0,58,1.82,81.6,62,1.40,-
2026/05/18 00:04:00,86.9,58,1.82,81.3,62,1.38,-
2026/05/18 00:05:00,86.9,58,1.81,81.1,62,1.36,-
2026/05/18 00:06:00,86.7,59,1.80,80.9,63,1.34,-
2026/05/18 00:07:00,86.6,59,1.79,80.8,63,1.32,-
2026/05/18 00:08:00,86.5,59,1.77,80.6,63,1.30,-
2026/05/18 00:09:00,86.4,59,1.76,80.5,64,1.29,-
2026/05/18 00:10:00,86.3,59,1.75,80.4,64,1.28,-
2026/05/18 00:11:00,86.2,59,1.74,80.3,64,1.27,-
2026/05/18 00:12:00,86.0,59,1.73,80.2,64,1.26,-
2026/05/18 00:13:00,85.9,59,1.71,80.1,64,1.25,-
2026/05/18 00:14:00,85.8,59,1.70,80.0,64,1.24,-
2026/05/18 00:15:00,85.7,60,1.69,79.8,65,1.23,-
2026/05/18 00:16:00,85.6,60,1.68,79.8,65,1.22,-
2026/05/18 00:17:00,85.4,60,1.66,79.7,65,1.21,-
2026/05/18 00:18:00,85.3,60,1.65,79.6,65,1.20,-
2026/05/18 00:19:00,85.2,60,1.64,79.6,65,1.20,-
2026/05/18 00:20:00,85.1,60,1.63,79.5,65,1.19,-
2026/05/18 00:21:00,85.0,60,1.62,79.4,65,1.19,-
2026/05/18 00:22:00,84.9,60,1.62,79.4,65,1.19,-
2026/05/18 00:23:00,84.8,60,1.61,79.3,65,1.18,-
2026/05/18 00:24:00,84.8,60,1.61,79.3,65,1.18,-
2026/05/18 00:25:00,84.7,61,1.60,79.2,66,1.17,-
2026/05/18 00:26:00,84.6,61,1.59,79.2,65,1.17,-
2026/05/18 00:27:00,84.6,61,1.59,79.1,66,1.17,-
2026/05/18 00:28:00,84.4,61,1.58,79.1,66,1.16,-
2026/05/18 00:29:00,84.4,61,1.57,79.0,66,1.16,-
2026/05/18 00:30:00,84.3,61,1.56,78.9,66,1.15,-
2026/05/18 00:31:00,84.2,61,1.56,78.9,66,1.15,-
2026/05/18 00:32:00,84.2,61,1.56,78.9,66,1.15,-
2026/05/18 00:33:00,84.1,61,1.55,78.8,66,1.15,-
2026/05/18 00:34:00,84.0,61,1.54,78.8,66,1.15,-
2026/05/18 00:35:00,84.0,61,1.54,78.8,66,1.15,-
2026/05/18 00:36:00,83.9,61,1.53,78.7,66,1.14,-
2026/05/18 00:37:00,83.9,61,1.53,78.7,66,1.14,-
2026/05/18 00:38:00,83.8,61,1.52,78.7,66,1.14,-
2026/05/18 00:39:00,83.8,61,1.52,78.7,66,1.14,-
2026/05/18 00:40:00,83.7,61,1.52,78.6,66,1.13,-
